longitude,latitude,temperature
-40.70,50.60,8.73
-40.40,51.50,9.22
-40.50,51.90,7.11
-40.40,52.10,7.21
-39.30,51.80,7.22
-38.10,51.80,6.22
-37.90,52.20,8.21
-38.00,52.30,8.48
-38.40,52.50,8.23
-38.30,52.70,8.45
-38.20,52.90,8.12
-37.00,52.90,8.09
-35.50,52.50,9.05
-34.40,52.10,9.87
-34.20,52.10,11.50
-33.60,52.00,12.00
-34.10,52.20,12.30
-33.70,51.90,12.10
-33.30,51.90,12.40
-33.10,51.60,13.80
-32.60,51.70,13.50
-32.80,51.50,13.90
-31.20,51.40,13.50
-31.10,51.70,13.70
-30.50,52.10,13.90
-29.80,52.10,14.70
-29.20,51.80,14.70
-29.00,51.50,13.40
-28.60,50.80,11.60
-27.80,50.40,12.70
-27.00,50.20,11.90
-44.40,44.00,10.90
-32.80,4.52,26.40
-43.80,28.10,22.30
-37.00,35.10,17.50
-38.50,34.10,18.20
-47.10,18.20,24.30
-62.40,28.60,21.90
-15.40,33.90,16.50
-29.60,4.69,26.40
-22.80,40.60,14.70
-21.40,38.50,15.30
-18.40,34.10,17.00
-15.50,49.80,11.60
-27.30,40.30,15.50
-21.60,54.30,8.70
-22.10,55.90,9.49
-22.20,42.00,14.10
-25.10,50.70,12.00
-13.70,54.30,10.50
-28.20,24.60,20.70
-23.80,41.10,14.30
-24.30,43.60,14.20
-50.10,60.90,-0.54
-10.80,42.60,12.50
-2.48,44.10,11.80
-23.00,33.30,17.80
-18.70,40.10,14.30
-12.10,58.60,9.68
-12.20,56.50,10.50
-31.30,50.10,8.68
-14.50,43.80,12.40
-17.10,39.40,13.90
-16.60,41.00,13.60
-2.05,44.50,11.60
-2.06,44.50,11.70
-2.07,44.50,11.70
-2.05,44.50,11.70
-9.76,47.20,11.70
-20.70,55.80,10.20
-22.60,50.00,11.20
-19.00,31.80,17.80
-21.10,28.00,19.00
-40.30,47.90,11.90
-40.50,57.30,4.04
-30.50,21.50,21.40
-27.90,11.70,23.40
-36.00,51.90,6.24
-43.60,55.00,3.71
-47.60,50.80,5.29
-45.50,50.90,6.14
-20.10,18.50,18.70
-27.00,20.20,20.90
-29.20,21.10,21.40
-16.50,60.40,8.80
-33.60,55.50,6.68
-18.60,20.20,18.70
-54.60,40.70,11.90
-60.10,43.00,2.36
-53.10,33.90,19.50
-58.20,42.50,8.55
-40.50,50.30,14.50
-39.90,49.30,14.20
-40.00,48.70,16.60
-39.90,49.00,14.30
-40.10,49.10,14.30
-39.70,48.40,13.40
-39.40,47.80,14.20
-38.80,46.80,13.40
-38.80,46.20,15.10
-38.90,45.70,13.30
-38.30,45.30,13.20
-37.90,45.50,12.80
-37.50,45.90,13.70
-37.90,46.20,13.20
-39.20,46.00,12.90
-40.10,45.20,14.10
-40.50,45.00,15.70
-40.90,44.90,15.50
-40.30,47.30,16.40
-40.00,47.60,14.90
-38.10,47.20,15.00
-37.20,47.80,15.00
-36.80,47.80,16.40
-36.90,48.90,15.40
-36.70,49.80,17.10
-35.50,49.70,15.80
-34.00,49.40,16.60
-32.90,49.50,17.70
-32.20,50.00,18.10
-31.90,50.40,16.70
-31.70,50.80,15.70
-31.00,50.80,15.80
-30.50,50.70,15.00
-29.60,50.80,13.70
-28.90,50.60,14.00
-28.70,50.60,13.70
-28.80,50.60,13.10
-28.80,50.50,12.00
-28.70,50.30,11.40
-28.20,49.90,11.70
-27.40,49.80,12.20
-27.70,51.00,11.00
-27.70,51.70,11.20
-25.10,50.10,12.90
-25.40,49.80,12.00
-24.90,49.60,11.00
-24.50,49.80,10.70
-24.40,49.90,10.60
-24.30,50.00,11.30
-24.30,50.40,11.00
-23.80,50.30,10.80
-23.40,49.80,12.40
-23.00,49.40,12.50
-23.10,49.40,12.50
-22.00,49.00,12.20
-22.20,48.40,13.30
-23.10,48.00,14.00
-23.40,48.10,13.90
-23.50,48.00,14.40
-24.40,48.10,15.00
-24.60,49.10,14.70
-24.10,49.90,15.40
-23.60,50.70,15.70
-22.50,50.30,15.60
-21.30,49.90,15.10
-20.00,49.80,15.00
-53.70,60.70,4.36
-57.40,60.70,4.39
-57.00,60.70,4.23
-57.30,61.00,4.23
-58.00,60.80,4.18
-58.00,60.50,4.27
-58.00,60.00,4.13
-57.70,59.50,4.13
-57.60,59.10,3.97
-57.20,58.70,3.78
-55.90,58.60,3.72
-55.30,58.20,3.47
-56.60,58.60,3.43
-56.10,59.00,3.71
-56.30,58.80,3.65
-56.60,58.30,3.82
-55.40,57.80,3.90
-55.40,58.30,3.48
-55.20,58.80,3.68
-53.90,58.90,4.81
-53.80,58.60,5.19
-54.20,58.00,5.37
-54.30,57.90,6.11
-54.40,58.20,6.99
-54.50,58.10,7.51
-54.10,58.20,8.55
-54.20,58.20,9.39
-54.20,58.30,9.11
-54.30,58.30,9.73
-54.50,58.40,9.93
-54.20,58.40,9.94
